"OCQ430.Code.or.Value","OCQ430.Value.Description","OCQ430.Count","OCQ430.Cumulative","OCQ430.Skip.to.Item"
"1","Yes",723,723,""
"2","No",286,1009,"OCQ460"
"7","Refused",1,1010,"OCQ460"
"9","Don't know",0,1010,"OCQ460"
".","Missing",6285,7295,""
