"DS2IPFAT.Code.or.Value","DS2IPFAT.Value.Description","DS2IPFAT.Count","DS2IPFAT.Cumulative","DS2IPFAT.Skip.to.Item"
"0.075 to 6","Range of Values",193,193,NA
".","Missing",5405,5598,NA
