"CIQP67.Code.or.Value","CIQP67.Value.Description","CIQP67.Count","CIQP67.Cumulative","CIQP67.Skip.to.Item"
"0 to 182","Range of Values",29,29,NA
"777","Refused",0,29,NA
"999","Don't know",0,29,NA
".","Missing",749,778,NA
