"DS1ISFAT.Code.or.Value","DS1ISFAT.Value.Description","DS1ISFAT.Count","DS1ISFAT.Cumulative","DS1ISFAT.Skip.to.Item"
"0.1 to 3","Range of Values",205,205,NA
".","Missing",5518,5723,NA
