"DS2TFDFE.Code.or.Value","DS2TFDFE.Value.Description","DS2TFDFE.Count","DS2TFDFE.Cumulative","DS2TFDFE.Skip.to.Item"
"10 to 34680","Range of Values",1671,1671,NA
".","Missing",8142,9813,NA
