"RXD300.Code.or.Value","RXD300.Value.Description","RXD300.Count","RXD300.Cumulative","RXD300.Skip.to.Item"
"1","Yes",1534,1534,""
"2","No",3689,5223,"End of Section"
"7","Refused",6,5229,"End of Section"
"9","Don't know",6,5235,"End of Section"
".","Missing",8,5243,""
