"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",2558,2558,NA
"1","Below lower detection limit",0,2558,NA
".","Missing",115,2673,NA
