"LBXCRY.Code.or.Value","LBXCRY.Value.Description","LBXCRY.Count","LBXCRY.Cumulative","LBXCRY.Skip.to.Item"
"0.49 to 97.1","Range of Values",7252,7252,NA
"0.14","Fill Value of Limit of Detection",16,7268,NA
".","Missing",714,7982,NA
