"DRD350HQ.Code.or.Value","DRD350HQ.Value.Description","DRD350HQ.Count","DRD350HQ.Cumulative","DRD350HQ.Skip.to.Item"
"1 to 30","Range of Values",3238,3238,NA
".","Missing",6306,9544,NA
