"TYXP011.Code.or.Value","TYXP011.Value.Description","TYXP011.Count","TYXP011.Cumulative","TYXP011.Skip.to.Item"
"29 to 197","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
