"SLQ210.Code.or.Value","SLQ210.Value.Description","SLQ210.Count","SLQ210.Cumulative","SLQ210.Skip.to.Item"
"1","Don't do this activity for other reasons",349,349,NA
"2","No difficulty",5481,5830,NA
"3","Yes, a little difficulty",556,6386,NA
"4","Yes, moderate difficulty",122,6508,NA
"5","Yes, extreme difficulty",36,6544,NA
"7","Refused",1,6545,NA
"9","Don't know",1,6546,NA
".","Missing",0,6546,NA
