"OCQ290G.Code.or.Value","OCQ290G.Value.Description","OCQ290G.Count","OCQ290G.Cumulative","OCQ290G.Skip.to.Item"
"1","Enter number",717,717,NA
"2","Never",2639,3356,NA
"7","Refused",1,3357,NA
"9","Don't know",0,3357,NA
".","Missing",2782,6139,NA
