"SMQ690A.Code.or.Value","SMQ690A.Value.Description","SMQ690A.Count","SMQ690A.Cumulative","SMQ690A.Skip.to.Item"
"1","Cigarettes",987,987,NA
"77","Refused",0,987,NA
"99","Don't know",0,987,NA
".","Missing",5757,6744,NA
