"OPDSHD.Code.or.Value","OPDSHD.Value.Description","OPDSHD.Count","OPDSHD.Cumulative","OPDSHD.Skip.to.Item"
"0","No",1372,1372,NA
"1","Yes",1717,3089,NA
".","Missing",774,3863,NA
