"PSQ240.Code.or.Value","PSQ240.Value.Description","PSQ240.Count","PSQ240.Cumulative","PSQ240.Skip.to.Item"
"1","True",33,33,NA
"2","False",8,41,NA
"7","Refused",1,42,NA
"9","Don't know",26,68,NA
".","Missing",53,121,NA
