"LBXTCD.Code.or.Value","LBXTCD.Value.Description","LBXTCD.Count","LBXTCD.Cumulative","LBXTCD.Skip.to.Item"
"5.44 to 261.9","Range of Values",1228,1228,NA
".","Missing",1319,2547,NA
