"OCQ510.Code.or.Value","OCQ510.Value.Description","OCQ510.Count","OCQ510.Cumulative","OCQ510.Skip.to.Item"
"1","Yes",1555,1555,""
"2","No",3686,5241,"OCQ530"
"7","Refused",2,5243,"OCQ530"
"9","Don't know",9,5252,"OCQ530"
".","Missing",923,6175,""
