"DS1TTFAT.Code.or.Value","DS1TTFAT.Value.Description","DS1TTFAT.Count","DS1TTFAT.Cumulative","DS1TTFAT.Skip.to.Item"
"0.3 to 18","Range of Values",507,507,NA
".","Missing",8831,9338,NA
