"URXMU5.Code.or.Value","URXMU5.Value.Description","URXMU5.Count","URXMU5.Cumulative","URXMU5.Skip.to.Item"
"0.014 to 785","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
