"SPXBEV.Code.or.Value","SPXBEV.Value.Description","SPXBEV.Count","SPXBEV.Cumulative","SPXBEV.Skip.to.Item"
"10 to 165","Range of Values",457,457,NA
".","Missing",7038,7495,NA
