"URXOP1.Code.or.Value","URXOP1.Value.Description","URXOP1.Count","URXOP1.Cumulative","URXOP1.Skip.to.Item"
"0.07 to 172","Range of Values",3006,3006,NA
".","Missing",199,3205,NA
