"MCQ240y.Code.or.Value","MCQ240y.Value.Description","MCQ240y.Count","MCQ240y.Cumulative","MCQ240y.Skip.to.Item"
"16","16",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9363,9364,NA
