"DSD128JJ.Code.or.Value","DSD128JJ.Value.Description","DSD128JJ.Count","DSD128JJ.Cumulative","DSD128JJ.Skip.to.Item"
"44","44",30,30,NA
".","Missing",8370,8400,NA
