"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"41.6 to 791.1","Range of Values",6551,6551,NA
".","Missing",428,6979,NA
