"MPQ120s.Code.or.Value","MPQ120s.Value.Description","MPQ120s.Count","MPQ120s.Cumulative","MPQ120s.Skip.to.Item"
"28","Mid-leg - right",170,170,NA
".","Missing",4710,4880,NA
