"URXCOTT.Code.or.Value","URXCOTT.Value.Description","URXCOTT.Count","URXCOTT.Cumulative","URXCOTT.Skip.to.Item"
"0.021 to 26800","Range of Values",2572,2572,NA
".","Missing",183,2755,NA
