"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.013 to 1.29","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
