"DRXTVB6.Code.or.Value","DRXTVB6.Value.Description","DRXTVB6.Count","DRXTVB6.Cumulative","DRXTVB6.Skip.to.Item"
"0 to 20.24","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
