"PAXMXM.Code.or.Value","PAXMXM.Value.Description","PAXMXM.Count","PAXMXM.Cumulative","PAXMXM.Skip.to.Item"
"0 to 529.164","Range of Values",78122385,78122385,NA
"-0.01","Value could not be computed",4471,78126856,NA
".","Missing",0,78126856,NA
