"URDBPHLC.Code.or.Value","URDBPHLC.Value.Description","URDBPHLC.Count","URDBPHLC.Cumulative","URDBPHLC.Skip.to.Item"
"0","At or above the detection limit",2438,2438,NA
"1","Below lower detection limit",166,2604,NA
".","Missing",114,2718,NA
