"WBXA107.Code.or.Value","WBXA107.Value.Description","WBXA107.Count","WBXA107.Cumulative","WBXA107.Skip.to.Item"
"-5.1633 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
