"DS2TCAFF.Code.or.Value","DS2TCAFF.Value.Description","DS2TCAFF.Count","DS2TCAFF.Cumulative","DS2TCAFF.Skip.to.Item"
"40 to 75","Range of Values",2,2,NA
".","Missing",9760,9762,NA
