"URDMPBLC.Code.or.Value","URDMPBLC.Value.Description","URDMPBLC.Count","URDMPBLC.Cumulative","URDMPBLC.Skip.to.Item"
"0","At or above the detection limit",2461,2461,NA
"1","Below lower detection limit",28,2489,NA
".","Missing",105,2594,NA
