"LBDD04LC.Code.or.Value","LBDD04LC.Value.Description","LBDD04LC.Count","LBDD04LC.Cumulative","LBDD04LC.Skip.to.Item"
"0","detectable result",513,513,NA
"1","below detectable limit",725,1238,NA
".","Missing",1309,2547,NA
