"RFXT093.Code.or.Value","RFXT093.Value.Description","RFXT093.Count","RFXT093.Cumulative","RFXT093.Skip.to.Item"
"805 to 814","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
