"URXDEA.Code.or.Value","URXDEA.Value.Description","URXDEA.Count","URXDEA.Cumulative","URXDEA.Skip.to.Item"
"0.3359 to 382000","Range of Values",2663,2663,NA
".","Missing",96,2759,NA
