"INQ132.Code.or.Value","INQ132.Value.Description","INQ132.Count","INQ132.Cumulative","INQ132.Skip.to.Item"
"1","Yes",629,629,NA
"2","No",9036,9665,NA
"7","Refused",37,9702,NA
"9","Don't know",5,9707,NA
".","Missing",49,9756,NA
