"DR2IRET.Code.or.Value","DR2IRET.Value.Description","DR2IRET.Count","DR2IRET.Cumulative","DR2IRET.Skip.to.Item"
"0 to 16552","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
