"DS1TCAFF.Code.or.Value","DS1TCAFF.Value.Description","DS1TCAFF.Count","DS1TCAFF.Cumulative","DS1TCAFF.Skip.to.Item"
"30.6 to 400","Range of Values",9,9,NA
".","Missing",10244,10253,NA
