"URDMNPLC.Code.or.Value","URDMNPLC.Value.Description","URDMNPLC.Count","URDMNPLC.Cumulative","URDMNPLC.Skip.to.Item"
"0","At or above the detection limit",349,349,NA
"1","Below lower detection limit",2199,2548,NA
".","Missing",90,2638,NA
