"SPXBFEV5.Code.or.Value","SPXBFEV5.Value.Description","SPXBFEV5.Count","SPXBFEV5.Cumulative","SPXBFEV5.Skip.to.Item"
"575 to 4033","Range of Values",496,496,NA
".","Missing",7699,8195,NA
