"LBC172LA.Code.or.Value","LBC172LA.Value.Description","LBC172LA.Count","LBC172LA.Cumulative","LBC172LA.Skip.to.Item"
"0.1 to 7.47","Range of Values",247,247,NA
".","Missing",0,247,NA
