"DXXTRBMC.Code.or.Value","DXXTRBMC.Value.Description","DXXTRBMC.Count","DXXTRBMC.Cumulative","DXXTRBMC.Skip.to.Item"
"0.86 to 20.57","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
