"DR2IACAR.Code.or.Value","DR2IACAR.Value.Description","DR2IACAR.Count","DR2IACAR.Cumulative","DR2IACAR.Skip.to.Item"
"0 to 28416","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
