"PAXVMD.Code.or.Value","PAXVMD.Value.Description","PAXVMD.Count","PAXVMD.Cumulative","PAXVMD.Skip.to.Item"
"0 to 1440","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
