"LBXF04.Code.or.Value","LBXF04.Value.Description","LBXF04.Count","LBXF04.Cumulative","LBXF04.Skip.to.Item"
"7.35 to 324.5","Range of Values",1223,1223,NA
".","Missing",1324,2547,NA
