"DX2LLA.Code.or.Value","DX2LLA.Value.Description","DX2LLA.Count","DX2LLA.Cumulative","DX2LLA.Skip.to.Item"
"250.72 to 517.65","Range of Values",467,467,NA
".","Missing",18,485,NA
