"TYXP116.Code.or.Value","TYXP116.Value.Description","TYXP116.Count","TYXP116.Cumulative","TYXP116.Skip.to.Item"
"-285 to 53","Range of Values",8385,8385,NA
".","Missing",84,8469,NA
