"DXDHETOT.Code.or.Value","DXDHETOT.Value.Description","DXDHETOT.Count","DXDHETOT.Cumulative","DXDHETOT.Skip.to.Item"
"2840.9 to 7475.1","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
