"LBDVTPLC.Code.or.Value","LBDVTPLC.Value.Description","LBDVTPLC.Count","LBDVTPLC.Cumulative","LBDVTPLC.Skip.to.Item"
"0","detectable result",0,0,NA
"1","below detectable limit",2592,2592,NA
"2","detectable result and exceeds the calibrated range of assay",0,2592,NA
".","Missing",823,3415,NA
