"WHD130.Code.or.Value","WHD130.Value.Description","WHD130.Count","WHD130.Cumulative","WHD130.Skip.to.Item"
"49 to 83","Range of Values",2552,2552,NA
"7777","Refused",4,2556,NA
"9999","Don't know",133,2689,NA
".","Missing",3486,6175,NA
