"DR2IZINC.Code.or.Value","DR2IZINC.Value.Description","DR2IZINC.Count","DR2IZINC.Cumulative","DR2IZINC.Skip.to.Item"
"0 to 261.53","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
