"FSD032A.Code.or.Value","FSD032A.Value.Description","FSD032A.Count","FSD032A.Cumulative","FSD032A.Skip.to.Item"
"1","Often true",752,752,NA
"2","Sometimes true",1669,2421,NA
"3","Never true",4855,7276,NA
"6","Screened out",2375,9651,NA
"7","Refused",25,9676,NA
"9","Don't know",18,9694,NA
".","Missing",428,10122,NA
