"DSQISODI.Code.or.Value","DSQISODI.Value.Description","DSQISODI.Count","DSQISODI.Cumulative","DSQISODI.Skip.to.Item"
"0.14 to 600","Range of Values",715,715,NA
".","Missing",7685,8400,NA
