"SMQ852Q.Code.or.Value","SMQ852Q.Value.Description","SMQ852Q.Count","SMQ852Q.Cumulative","SMQ852Q.Skip.to.Item"
"0 to 480","Range of Values",594,594,NA
"7777","Refused",0,594,NA
"9999","Don't know",2,596,NA
".","Missing",6405,7001,NA
