"DR1TMFAT.Code.or.Value","DR1TMFAT.Value.Description","DR1TMFAT.Count","DR1TMFAT.Cumulative","DR1TMFAT.Skip.to.Item"
"0.062 to 208.345","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
