"WHD080H.Code.or.Value","WHD080H.Value.Description","WHD080H.Count","WHD080H.Cumulative","WHD080H.Skip.to.Item"
"17","Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous",109,109,NA
".","Missing",6052,6161,NA
