"SSBFOA.Code.or.Value","SSBFOA.Value.Description","SSBFOA.Count","SSBFOA.Cumulative","SSBFOA.Skip.to.Item"
"0.07 to 0.1","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
