"IMQ040.Code.or.Value","IMQ040.Value.Description","IMQ040.Count","IMQ040.Cumulative","IMQ040.Skip.to.Item"
"1","Yes",482,482,"IMQ080"
"2","No",2269,2751,""
"7","Refused",3,2754,""
"9","Don't know",115,2869,""
".","Missing",6887,9756,""
