"DRXTS040.Code.or.Value","DRXTS040.Value.Description","DRXTS040.Count","DRXTS040.Cumulative","DRXTS040.Skip.to.Item"
"0 to 7.848","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
