"CVXS1RPE.Code.or.Value","CVXS1RPE.Value.Description","CVXS1RPE.Count","CVXS1RPE.Cumulative","CVXS1RPE.Skip.to.Item"
"6 to 20","Range of Values",3067,3067,NA
".","Missing",1596,4663,NA
