"BIXC012K.Code.or.Value","BIXC012K.Value.Description","BIXC012K.Count","BIXC012K.Cumulative","BIXC012K.Skip.to.Item"
"18.62 to 403.89","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
