"WTINT2YR.Code.or.Value","WTINT2YR.Value.Description","WTINT2YR.Count","WTINT2YR.Cumulative","WTINT2YR.Skip.to.Item"
"3320.8855 to 220233.3152","Range of Values",9756,9756,NA
".","Missing",0,9756,NA
