"LBXEPP.Code.or.Value","LBXEPP.Value.Description","LBXEPP.Count","LBXEPP.Cumulative","LBXEPP.Skip.to.Item"
"0 to 1480","Range of Values",8927,8927,NA
".","Missing",1002,9929,NA
